"","sample_id","beta1","beta2","beta3","beta4","beta5","f1","f2","f3","f4","f5","alpha","inc_age_cat1","inc_age_cat2","inc_age_cat3","inc_age_cat4","inc_age_cat5","r_a","gamma","theta_s","theta_a","r_c","rho","phi","VE_under2","VE_2_4","VE_5_plus","duration_under2","duration_2_4","duration_5_plus"
"516",516,2.46890067052436,18.0071115729312,13.1460192731565,7.730713629,0.8638613080053,0.0377314902996622,0.055000372,0.082000044,0.078479026,0.063876276,0.009168746,1333.20447310696,4167.43617993716,2758.40282356073,1889.38944689136,564.923928742534,0.871176967263538,0.972385840720654,0.634178253637268,0.312895098903893,0.120668770231548,0.00145521017861555,0.00886969778860375,0.938921681,0.82147088,0.905383426,30.58560594,47.545954248,71.949726024
"517",517,2.23752717297874,18.1630659290701,11.3675645029981,7.75568542933656,1.07425646823788,0.0518604082456136,0.056239607,0.077266902,0.0675487,0.0588143583492583,0.0130864259405578,1332.96427037869,4166.32042168616,2757.67355803339,1889.54596964021,564.793372890737,0.834368966919656,1.2472999452259,0.592114410425169,0.353846995952774,0.09610539351939,0.000847308421047148,0.0104971083797503,0.998480327,0.835744327,0.910416038,22.313466696,126.10467036,108.214150452
"518",518,2.53934583601458,18.4676865936331,12.6520704897508,7.4680669323634,0.929248091646788,0.0447281649154101,0.053918866,0.077506445,0.077248519,0.069384417,0.0095383,1333.26889684606,4166.81274628352,2757.78496224854,1890.40726216397,564.567618239543,0.539800954528555,0.836772963850721,0.653802214374145,0.279759821879714,0.0911235811968378,0.00518815752801082,0.00584136519576837,0.706963257,0.902356524,0.807734755,0.950698428,61.648531788,61.772013444
"519",519,3.0553511666251,15.9211452307483,9.36112238761309,6.80007438822466,1.21294641079861,0.060922468,0.0581450493960543,0.065061646,0.056132871454973,0.067149844,0.030596571161583,1333.03289439483,4166.95161891575,2757.89752647037,1889.92534272285,564.811372934292,0.554739465423527,1.56144055740091,0.614429555655262,0.317089141497344,0.112913557790161,0.00266708809803097,0.00802768799770449,0.917548731,0.76087948,0.932700563,0.124859568,40.7424501,70.07373732
"520",520,2.41661420786651,19.6283679730147,12.4486745271243,7.23549121837662,1.03110610792664,0.0469309480481362,0.051702125,0.076980184,0.076440958,0.06328446,0.00973666,1333.20535174512,4167.5916,2757.49671591316,1890.17557961719,564.944784415223,0.667170353455896,1.01938219419121,0.580779464024371,0.285738845111278,0.136149227160471,0.00288346631290939,0.0102967139814527,0.976010969,0.830945533,0.845220378,22.836605148,65.272375272,87.7561221
"521",521,2.79879207276674,18.2709892266192,10.5050034297852,6.254943674,1.19729940481284,0.059824593,0.051234351,0.061805946028195,0.061403284,0.063848194,0.021511219,1332.8484038837,4167.3886253813,2758.06623122406,1889.90197354171,565.115382480023,0.641658881617704,1.60537890968377,0.661202096085216,0.269167283812503,0.11711951043864,0.00133034903765366,0.00812422437349586,0.872226296,0.811885814,0.888233201,3.78132768943738e-08,65.57229966,84.511684176
"522",522,2.58301965370736,19.6445837531045,11.5152565313611,6.98674599972451,0.982021531,0.047701837,0.0517678810867547,0.077450686,0.075426199,0.068698313,0.0101791279133199,1333.50102250279,4167.09411463994,2757.12812257927,1889.86739854414,565.097459260819,0.800054256732043,1.23014152213725,0.581196443335431,0.283493574803223,0.148587934703269,0.000270393404465064,0.00874227752860293,0.743396505,0.846984148,0.827790725,29.000962044,61.810619844,105.214189212
"523",523,2.57641007575878,19.0555296907453,11.3325170030698,6.9049248,1.05953704293406,0.051519795,0.0522710704446442,0.075588927,0.075143984,0.068130372,0.0100686701752874,1332.7643541538,4167.46078669959,2758.02105841561,1890.1008871718,564.596819939367,0.535245110277353,0.933759476713863,0.635849573581288,0.258816988719378,0.119288543692528,0.000536591738597856,0.0114611504011865,0.859116268,0.863040432,0.982925388,38.010324396,24.806683584,58.572302232
"524",524,2.76130527185408,19.2349711653564,11.4208603275766,6.78389432719163,1.04214823317763,0.047964898,0.051559725,0.075906371,0.076735063,0.0693727,0.0100015497114395,1333.0387147013,4167.2115152114,2758.24192478403,1889.43609753146,565.12805771953,0.751699669158932,1.41941820321014,0.527033801626878,0.261346217207024,0.118051946135003,0.00592147507923812,0.00825061455463878,0.97973337,0.707047345,0.854235755,21.457790112,259.95539688,118.72928238
"525",525,2.33811345210421,18.7637763127234,13.5941361710298,7.70517653176814,0.964027512145949,0.047249505019811,0.0508252011472177,0.075108004,0.078135316,0.068183922,0.008783161,1332.83685681531,4167.02624962851,2758.41954914628,1890.1110938046,565.199086273536,0.909488740252901,1.36106235359317,0.656606597114342,0.266100539833411,0.121980212161085,0.00482950998439873,0.00835407864761623,0.779860611,0.776076577,0.903855516,0.236076024,84.1990413,80.0304891
