"","sample_id","beta1","beta2","beta3","beta4","beta5","f1","f2","f3","f4","f5","alpha","inc_age_cat1","inc_age_cat2","inc_age_cat3","inc_age_cat4","inc_age_cat5","r_a","gamma","theta_s","theta_a","r_c","rho","phi","VE_under5","VE_5_plus","duration_under5","duration_5_plus"
"824",824,2.35165157252953,19.0389758266884,12.4745478485262,7.81601549100877,0.814157535150236,0.042282227,0.054542274,0.082861981,0.07714682,0.070052942,0.009491103,1333.1405265568,4166.49971005319,2758.74441924749,1889.60172907061,564.858262917616,0.696894957122366,0.84610589786597,0.599213394022928,0.314612541273856,0.13948498773377,0.00221720801543839,0.00786248983875181,0.841906932,0.827750793,889.40991576,829.19581608
"825",825,2.57857633305535,18.5024082040993,12.2562502140018,8.24892667352962,0.834083917,0.036661637985213,0.049738055,0.082461219,0.08189432,0.073183375,0.006527938,1333.24480941078,4166.66419316341,2758.30821357232,1889.458289,564.900831840224,0.668121222395131,0.790759115160506,0.643959918036316,0.239688228224803,0.117838682117053,0.00259730029371504,0.00701511189351633,0.785797743,0.907509712,1159.59035364,514.94937552
"826",826,2.5592039,18.2269533847516,12.4281180038147,7.3424139010853,0.998175229228199,0.045605832,0.05196444,0.074598607,0.076361273,0.067364687,0.008819,1332.89390637484,4167.27449763197,2758.35686797091,1890.32341988585,564.8986154917,0.606207671929813,0.931108239892904,0.599387607197773,0.259837722510267,0.161406221527697,0.00081601828002197,0.00609565430874933,0.742457136,0.864828463,461.13731664,664.04536224
"827",827,2.73156114786516,19.1385818290412,11.2487493967293,7.02561205490624,1.07707401710331,0.049623258,0.0520860425458428,0.075912765,0.074932691,0.06865979,0.009824593,1333.16562164741,4167.38423732014,2757.94226729288,1890.56261199071,564.930829598846,0.517846026995533,0.999496239001191,0.566715134295248,0.253525415826343,0.147313962317011,0.00289631671894761,0.00725212013428138,0.803327019,0.816046996,557.58345468,709.60887792
"828",828,2.67048561481156,19.8463557746669,12.7044394516712,7.900497273,1.04009871002914,0.046169613,0.043262357,0.067372709,0.073543037,0.07308684,0.006595711,1333.39677826878,4167.584684,2757.77524035907,1889.91889221911,565.250437309356,0.775379802567668,1.69880453616663,0.582887468487989,0.178099827915839,0.143172866655465,0.00767998261677039,0.00664806439386258,0.808973599,0.748898499,421.53324336,1137.63222876
"829",829,2.39478006222806,19.6060923129998,12.5861887341474,8.4954283560389,0.846097877,0.035812034,0.050641542,0.086220216,0.079797404,0.065108402,0.007747182,1333.07631512208,4166.59260412095,2757.74097743956,1889.9982090825,565.071933323709,0.908532066375984,1.08872104543939,0.550823248718983,0.280749520901454,0.149472807507492,0.00896436651642633,0.00759091456869043,0.735690347,0.829694406,188.06157816,836.32675188
"830",830,2.50517326278724,18.1512677346132,12.8509247526311,7.54547985131432,0.925427886911836,0.0444200848937723,0.052787722,0.075781232,0.076874089,0.069436051,0.008807301,1333.02589590283,4166.91728341261,2758.34938899045,1890.67169021125,565.246759149132,0.66373304181395,0.922252629559734,0.532021778466309,0.277678504987338,0.131946130141654,0.000304840100997646,0.00841996430601429,0.793102323,0.81065453,896.58981564,1042.080753
"831",831,2.78481036995151,20.4267247952081,10.4910496837496,5.83223596699636,1.01655011951408,0.055387372,0.052358449,0.06767321,0.066881803,0.069006522,0.0217084171110413,1333.08715303521,4166.82435826368,2758.18191604508,1889.68858959371,564.954525113593,0.756750496656028,1.53373854559264,0.594785025333535,0.356565561462989,0.122081637623506,0.000299525721407086,0.0068699220498618,0.700005866,0.843842774,147.42072972,630.47673168
"832",832,2.56261905108693,18.3943848065678,11.2191400852079,7.38306620305046,1.03542655754031,0.053754805,0.0568452793891136,0.07256664,0.064561337,0.065658825,0.016313567,1332.88465597269,4166.25384958869,2758.13686337657,1890.13349814413,565.301507798335,0.69042017716806,1.27544514240142,0.641325323823359,0.353484140892239,0.117506856240566,0.00236280749281371,0.00883380224276832,0.75389055,0.844222605,393.65003196,785.04063492
"833",833,2.59853510506864,17.5680909749039,10.136798288364,6.16488695032359,1.30196539266758,0.055029812,0.0543471530409102,0.070516956,0.067336633,0.0547056254884845,0.016552358,1333.23088974185,4167.31400271213,2758.6503748033,1890.29902650066,564.8542089,1,1.98268130926059,0.698586716039541,0.311426599363332,0.125903561812121,0.000723556912185557,0.00743959918873897,0.715017522,0.840147211,1048.84867152,733.04530188
"834",834,2.50965762470817,19.367948605407,12.925448610038,7.97208124179824,1.01554497847277,0.045500353,0.044000524,0.068785179,0.07709301,0.073902223,0.005626868,1333.03183426414,4167.29237248947,2758.210491,1889.93948885961,565.040194824354,0.57564360618557,1.01775412642149,0.416547344489002,0.184592162164777,0.102615865644095,0.00773765353558065,0.00920151453019576,0.759852013,0.880990374,705.3920016,768.63746232
"835",835,2.36917710925962,18.0546563758884,11.5171907520397,8.39756051000258,0.923308238081802,0.046760308,0.055192837,0.077964621,0.066969457,0.065516976,0.0115015544049372,1332.6367706174,4167.5075227249,2759.08472191388,1889.13258972497,565.307105505813,0.845998494522927,1.15589233152419,0.580130061334451,0.330512379047229,0.128829340040657,3.54435802631509e-05,0.00658086206499258,0.855908834,0.769444929,29.576498928,1096.80745848
"836",836,2.54192588348133,19.4408439288135,12.0734932188466,7.32812167607481,1.09718409517441,0.050272796,0.0522735091759802,0.07456556,0.072538036,0.063852504,0.0109300093205411,1333.08185799862,4168.34934020297,2758.16392508485,1888.93202424033,565.202480120418,0.749061530635867,1.29359708025419,0.606225937503693,0.285311211560815,0.134848199543685,0.0019508439560402,0.0083918753132959,0.82422506,0.845893651,306.87688956,820.7606076
"837",837,2.30131587800142,18.8918406007477,13.2013694822707,8.15063712048207,0.845448253412422,0.038315728,0.0547888636598778,0.082938743,0.075891742,0.062027801,0.009948648,1332.85085104986,4166.64562000433,2758.53833652299,1890.03772,565.096677111459,0.656890416673454,0.841654075884019,0.623861022268423,0.319531419448017,0.118677835276628,0.0120563028145464,0.00728775417935609,0.734642086,0.965330427,940.58931504,264.53877588
"838",838,2.32563610924197,18.8468544736903,12.8057647213093,9.001197945,0.844292972917177,0.036358452,0.05528284,0.087577073,0.076175767,0.061580822938261,0.009035363,1332.93459452226,4166.87444505511,2757.9831887014,1889.23215602622,565.175822852284,1,0.987962752482053,0.642322840968049,0.329384235432397,0.142023607780881,0.00101985181754999,0.0110147337660199,0.771672032,0.834252538,784.19300076,762.87531564
"839",839,2.47368480479595,19.266696179015,12.4590400286263,7.57377928757237,0.937289015,0.0465704856187144,0.051477301,0.076598201,0.075384788,0.069837707,0.009363667,1333.32405504846,4166.59298561654,2757.53414838752,1889.4555647888,564.993246926208,0.768413095897489,1.16958230241678,0.564732856241243,0.278385504355736,0.165337297485297,0.0027204036405072,0.00891194237479444,0.723268353,0.90196227,1159.64640348,282.74519496
"840",840,2.18559072809007,19.9970125370746,12.3856099159243,8.43914157352446,0.759646310242406,0.0391018465055037,0.0501349082440502,0.086686794,0.079244042,0.070250597,0.0078863,1333.13686029801,4167.34476167907,2757.99900508572,1889.7099113669,565.2123045052,1,1.03789848880224,0.670573093460563,0.283878949553302,0.148905267485048,0.00299198667027996,0.00913486620649736,0.708049248,0.910093424,327.64342152,347.69539596
